file,ahri_number,model_status,date,ahri_type,series,brand,outdoor_model,indoor_model,all_fields
AHRICertificate (10).pdf,212367433,Active,06-26-2026,HRCU-A-C (Split System: Heat Pump with Remote Outdoor Unit with No Indoor Fan --Air Source),,Bladex,BX30-24HPHYHA,BLC-24HWAC1,"{""AHRI Type"": ""HRCU-A-C (Split System: Heat Pump with Remote Outdoor Unit with No Indoor Fan --Air Source)"", ""Outdoor Unit Brand Name"": ""Bladex"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""BX30-24HPHYHA"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""BLC-24HWAC1"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""16.00"", ""EER (A2) - Single or High Stage (95F)"": ""11.00"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""26000"", ""HSPF (Region IV)"": ""9.50"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""24000"", ""SEER2"": ""16.50"", ""EER2 (AFull) – Single or High Stage (95F)"": ""10.70"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""25000"", ""HSPF2 (Region IV)"": ""9.50""}"
AHRICertificate (11).pdf,205663358,Discontinued,06-26-2026,"HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)",,DAIKIN,3MXL24RMVJU*,,"{""AHRI Type"": ""HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number"": ""3MXL24RMVJU*"", ""Indoor Type"": ""Non-Ducted Indoor Units"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.70"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""24000"", ""HSPF (Region IV)"": ""12.50"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""24000"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (12).pdf,205047852,Production Stopped,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",ClimaPure XE,PANASONIC,CU-XE12WKUA,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Series Name"": ""ClimaPure XE"", ""Outdoor Unit Brand Name"": ""PANASONIC"", ""Outdoor Unit Model Number"": ""CU-XE12WKUA"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""CS-XE12WKUAW"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""11500"", ""SEER"": ""24.60"", ""EER (A2) - Single or High Stage (95F)"": ""14.15"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""12000"", ""HSPF (Region IV)"": ""13.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""11500"", ""SEER2"": ""24.60"", ""EER2 (AFull) – Single or High Stage (95F)"": ""14.15"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""11500"", ""HSPF2 (Region IV)"": ""11.00"", ""Sold in?"": ""Canada""}"
AHRICertificate (13).pdf,207256441,Active,06-26-2026,HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source),FLEXX High-efficiency Series,GREE,FLEXX36HP230V1AO,FLEXX36HP230V1BH,"{""AHRI Type"": ""HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source)"", ""Series"": ""FLEXX High-efficiency Series"", ""Outdoor Unit Brand Name"": ""GREE"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""FLEXX36HP230V1AO"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""FLEXX36HP230V1BH"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""36000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""10.00"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""36000"", ""HSPF (Region IV)"": ""10.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""34000"", ""SEER2"": ""16.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""10.00"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""35000"", ""HSPF2 (Region IV)"": ""9.00""}"
AHRICertificate (14).pdf,8033586,Production Stopped,06-26-2026,"HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)",H-Series,FUJITSU,AOU24RLXFZH,,"{""AHRI Type"": ""HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)"", ""Series Name"": ""H-Series"", ""Outdoor Unit Brand Name"": ""FUJITSU"", ""Outdoor Unit Model Number"": ""AOU24RLXFZH"", ""Indoor Type"": ""Non-Ducted Indoor Units"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""22000"", ""SEER"": ""20.00"", ""EER (A2) - Single or High Stage (95F)"": ""13.30"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""25000"", ""HSPF (Region IV)"": ""10.30"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""22000"", ""SEER2"": ""20.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""13.30"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""24000"", ""HSPF2 (Region IV)"": ""10.00"", ""Sold in?"": ""USA""}"
AHRICertificate (15).pdf,207706559,Active,06-26-2026,HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source),DM series,MOOVAIR,DMA24HOS20230E7,FMA24HIAHUU230X7,"{""AHRI Type"": ""HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source)"", ""Series"": ""DM series"", ""Outdoor Unit Brand Name"": ""MOOVAIR"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""DMA24HOS20230E7"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""FMA24HIAHUU230X7"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""20.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.50"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""24000"", ""HSPF (Region IV)"": ""12.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""24000"", ""SEER2"": ""17.40"", ""EER2 (AFull) – Single or High Stage (95F)"": ""11.70"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""24000"", ""HSPF2 (Region IV)"": ""10.00""}"
AHRICertificate (16).pdf,207599994,Discontinued,06-26-2026,HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source),Daikin Fit,DAIKIN,DZ17VSA301B*,DV35FECC14A*,"{""AHRI Type"": ""HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source)"", ""Series"": ""Daikin Fit"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""DZ17VSA301B*"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""DV35FECC14A*"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""25000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""10.70"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""22800"", ""HSPF (Region IV)"": ""10.00""}"
AHRICertificate (17).pdf,206249116,Active,06-26-2026,HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source),FLEXX High-efficiency Series,GREE,GUD36W/A-D(U),GUD24AH2/A-D(U),"{""AHRI Type"": ""HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source)"", ""Series"": ""FLEXX High-efficiency Series"", ""Outdoor Unit Brand Name"": ""GREE"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""GUD36W/A-D(U)"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""GUD24AH2/A-D(U)"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""20.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.50"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""24000"", ""HSPF (Region IV)"": ""10.50"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""24000"", ""SEER2"": ""17.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""12.00"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""24000"", ""HSPF2 (Region IV)"": ""9.00""}"
AHRICertificate (18).pdf,210722665,Production Stopped,06-26-2026,"HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)",Daikin AURORA,DAIKIN,3MXL24WMVJU*,,"{""AHRI Type"": ""HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)"", ""Series Name"": ""Daikin AURORA"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number"": ""3MXL24WMVJU*"", ""Indoor Type"": ""Non-Ducted Indoor Units"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""11.70"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""24000"", ""HSPF (Region IV)"": ""12.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""24000"", ""SEER2"": ""18.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""11.70"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""24000"", ""HSPF2 (Region IV)"": ""9.70"", ""Sold in?"": ""Canada""}"
AHRICertificate (19).pdf,205123809,Production Stopped,06-26-2026,"HRCU-A-CB (Mini-Split System: Heat Pump with Outdoor Unit-Air-Source, Ducted)",H-Series,FUJITSU,AOUG36LMAS1,,"{""AHRI Type"": ""HRCU-A-CB (Mini-Split System: Heat Pump with Outdoor Unit-Air-Source, Ducted)"", ""Series Name"": ""H-Series"", ""Outdoor Unit Brand Name"": ""FUJITSU"", ""Outdoor Unit Model Number"": ""AOUG36LMAS1"", ""Indoor Type"": ""Mini-Splits (Ducted)"", ""Indoor Model Number(s)"": ""AMUG36LMAS"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""36000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""11.30"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""42000"", ""HSPF (Region IV)"": ""10.20"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""36000"", ""SEER2"": ""17.10"", ""EER2 (AFull) – Single or High Stage (95F)"": ""10.70"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""36000"", ""HSPF2 (Region IV)"": ""8.80"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (2).pdf,206249117,Active,06-26-2026,HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source),FLEXX High-efficiency Series,GREE,GUD36W/A-D(U),GUD36AH2/A-D(U),"{""AHRI Type"": ""HRCU-A-CB (Split System: Heat Pump with Remote Outdoor Unit-Air-Source)"", ""Series"": ""FLEXX High-efficiency Series"", ""Outdoor Unit Brand Name"": ""GREE"", ""Outdoor Unit Model Number (Condenser or Single Package)"": ""GUD36W/A-D(U)"", ""Indoor Unit Model Number (Evaporator and/or Air Handler)"": ""GUD36AH2/A-D(U)"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""36000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""10.00"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""36000"", ""HSPF (Region IV)"": ""10.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""34000"", ""SEER2"": ""16.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""10.00"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""35000"", ""HSPF2 (Region IV)"": ""9.00""}"
AHRICertificate (20).pdf,204717600,Discontinued,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",,DAIKIN,RXL12QMVJU9,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number"": ""RXL12QMVJU9"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""FTX12NMVJU"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""10600"", ""SEER"": ""20.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.50"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""13400"", ""HSPF (Region IV)"": ""12.00"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (21).pdf,205663349,Discontinued,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",,DAIKIN,RXL15QMVJU*,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number"": ""RXL15QMVJU*"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""FTX15NMVJU"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""15000"", ""SEER"": ""20.00"", ""EER (A2) - Single or High Stage (95F)"": ""13.00"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""18300"", ""HSPF (Region IV)"": ""12.50"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""15000"", ""SEER2"": ""19.50"", ""EER2 (AFull) – Single or High Stage (95F)"": ""13.00"", ""HSPF2 (Region IV)"": ""10.00"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (22).pdf,204825178,Active,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",LAU120HYV3,LG,LAU120HYV3,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Series Name"": ""LAU120HYV3"", ""Outdoor Unit Brand Name"": ""LG"", ""Outdoor Unit Model Number"": ""LAU120HYV3"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""LAN120HYV3"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""12000"", ""SEER"": ""25.50"", ""EER (A2) - Single or High Stage (95F)"": ""13.80"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""13600"", ""HSPF (Region IV)"": ""12.50"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""12000"", ""SEER2"": ""25.50"", ""EER2 (AFull) – Single or High Stage (95F)"": ""13.80"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""13600"", ""HSPF2 (Region IV)"": ""11.20"", ""Sold in?"": ""Canada""}"
AHRICertificate (23).pdf,7091971,Production Stopped,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",Lomo,GREE,GWH12QC-D3DNA1D/O,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Series Name"": ""Lomo"", ""Outdoor Unit Brand Name"": ""GREE"", ""Outdoor Unit Model Number"": ""GWH12QC-D3DNA1D/O"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""GWH12QC-D3DN***/I"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""12000"", ""SEER"": ""22.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.50"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""13000"", ""HSPF (Region IV)"": ""11.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""12000"", ""SEER2"": ""21.50"", ""EER2 (AFull) – Single or High Stage (95F)"": ""12.00"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""13000"", ""HSPF2 (Region IV)"": ""8.50"", ""Sold in?"": ""Canada""}"
AHRICertificate (24).pdf,206597213,Production Stopped,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",H-Series,FUJITSU,AOUG15LZAH1,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Series Name"": ""H-Series"", ""Outdoor Unit Brand Name"": ""FUJITSU"", ""Outdoor Unit Model Number"": ""AOUG15LZAH1"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""ASUG15LZBS"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""14500"", ""SEER"": ""25.30"", ""EER (A2) - Single or High Stage (95F)"": ""13.90"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""18000"", ""HSPF (Region IV)"": ""13.30"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""14500"", ""SEER2"": ""25.30"", ""EER2 (AFull) – Single or High Stage (95F)"": ""13.90"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""14500"", ""HSPF2 (Region IV)"": ""12.70"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (25).pdf,201851577,Discontinued,06-26-2026,"HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)",,DAIKIN,3MXL24RMVJU,,"{""AHRI Type"": ""HMSV-A-CB-O (Multi-Split Heat Pump, Free Delivery)"", ""Outdoor Unit Brand Name"": ""DAIKIN"", ""Outdoor Unit Model Number"": ""3MXL24RMVJU"", ""Indoor Type"": ""Non-Ducted Indoor Units"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""24000"", ""SEER"": ""18.00"", ""EER (A2) - Single or High Stage (95F)"": ""12.70"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""24000"", ""HSPF (Region IV)"": ""12.50"", ""Sold in?"": ""USA, Canada""}"
AHRICertificate (26).pdf,205047853,Production Stopped,06-26-2026,"HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)",ClimaPure XE,PANASONIC,CU-XE15WKUA,,"{""AHRI Type"": ""HRCU-A-CB-O (Mini-Split Heat Pump, with Remote Outdoor Unit Air-Source, Free Delivery)"", ""Series Name"": ""ClimaPure XE"", ""Outdoor Unit Brand Name"": ""PANASONIC"", ""Outdoor Unit Model Number"": ""CU-XE15WKUA"", ""Indoor Type"": ""Mini-Splits (Non-Ducted)"", ""Indoor Model Number(s)"": ""CS-XE15WKUAW"", ""Cooling Capacity (A2) - Single or High Stage (95F), btuh"": ""14700"", ""SEER"": ""21.10"", ""EER (A2) - Single or High Stage (95F)"": ""12.55"", ""Heating Capacity (H12) - Single or High Stage (47F)"": ""17200"", ""HSPF (Region IV)"": ""12.00"", ""Cooling Capacity (AFull) – Single or High Stage (95F), btuh"": ""14700"", ""SEER2"": ""22.00"", ""EER2 (AFull) – Single or High Stage (95F)"": ""12.55"", ""Heating Capacity (H1Nom) - Multi/Variable Stage (47F)"": ""14700"", ""HSPF2 (Region IV)"": ""11.00"", ""Sold in?"": ""Canada""}"
